brand,price,Kondisi,TahunKendaraan,Kilometer,Warna,Transmisi,JumlahGir,Pintu,KapasitasKursi,Dirakit,EngineCC,Baut(mm),Struk(mm),TenagaPuncak(hp),TenagaPutaranPuncak(Nm),InjeksiLangsung,Aspirasi,TipeBahanBakar,RadiusPutar,Panjang(mm),Lebar(mm),Tinggi(mm),JarakRoda(mm),ThreadDepan,ThreadBelakang,KonsumsiBahanBakar(L/100km),BeratKosong(kg),RasioKompresi,EmisiCO2,0-100km/jam(detik),KecepatanTertinggi(km/jam)
Honda,189000000,Mobil Bekas,2013,160 - 165K km,Putih,Automatic,5,5,5,Complete Knock Down (CKD),2354,87,99,187,222,Multi-Point Injection,Aspirated,Pertamax,11.8,4545,1820,1685,2620,1565,1565,8.4,1530,10,196,,
Mercedes-Benz,3850000000,Mobil Bekas,2015,11000 km,Kuning,Automatic,7,2,2,Complete Built Up (CBU),3982,83,92,503,650,Direct Injection,Turbocharged,Pertamax,11.5,4546,1939,1288,2630,1680,1651,9.6,1645,10.5,224,3.8,310
Hyundai,737000000,Mobil Baru,2023,0 - 5K km,Silver,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Toyota,130000000,Mobil Bekas,2018,145 - 150K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1329,72.5,80.5,95,121,Multi-Point Injection,Aspirated,Pertamax,,4190,1660,1695,2655,1425,1435,,,,,,
Hyundai,737000000,Mobil Baru,2023,0 - 5K km,Silver,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Daihatsu,96000000,Mobil Bekas,2015,67000 km,Merah,Automatic,4,5,5,Complete Knock Down (CKD),998,,,64,85,Multi-Point Injection,Aspirated,Pertamax,,3600,1600,1520,2450,1430,1425,,765,,,,
Hyundai,737000000,Mobil Baru,2023,0 - 5K km,Silver,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Mitsubishi,175000000,Mobil Bekas,2018,120 - 125K km,Abu-abu,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Toyota,265200000,Mobil Baru,2024,0 - 5K km,Biru,Automatic,,5,5,Complete Knock Down (CKD),996,71,83.9,97,140,Multi-Point Injection,Turbocharged,Pertamax,10.2,4030,1710,1635,2525,1475,1470,,1680,9.5,,,
Toyota,155000000,Mobil Bekas,2014,110 - 115K km,Putih,Automatic,7,5,7,Complete Knock Down (CKD),1987,80.5,97.6,155,195,Multi-Point Injection,Aspirated,Pertamax,,4600,1695,1850,2825,1480,1470,,1680,,,,
Toyota,290000000,Mobil Bekas,2016,70 - 75K km,Hitam,Automatic,6,5,7,Complete Knock Down (CKD),2694,95,95,161,242,Multi-Point Injection,Aspirated,Pertamax,11.6,4795,1855,1835,2745,1545,1555,,2020,,,,
Suzuki,183000000,Mobil Bekas,2020,40 - 45K km,Orange,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Mazda,365000000,Mobil Bekas,2019,50 - 55K km,Abu-abu,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,251,Direct Injection,Aspirated,Pertamax,,4550,1840,1680,2700,1595,1595,,1548,13,,,
